#1
double t_data(1345,16)	#t	S.O2	S.I	S.S	S.NH	S.N2	S.NO	S.ALK	X.I	X.S	X.H	X.A	X.STO	X.SS	d1$S.P	Q
5.51	0	30	81.29	34.25	0	0	7	53.98	223.6	30.84	0	0	231.3	10.5941225	20010
5.521	0	30	75.77	32.16	0	0	7	51.93	222.4	30.48	0	0	228.6	9.949415	19380
5.531	0	30	70.37	30.78	0	0	7	51.2	219.8	30.11	0	0	225.8	9.37276416666667	19340
5.542	0	30	68.28	29.8	0	0	7	46.73	221.1	29.76	0	0	223.2	9.10502833333333	17600
5.552	0	30	67.03	29.24	0	0	7	51.36	213.5	29.43	0	0	220.7	8.94457333333333	19940
5.563	0	30	66.77	28.52	0	0	7	49.51	209.8	28.81	0	0	216.1	8.84327333333333	19580
5.573	0	30	67.08	27.96	0	0	7	47.57	211.8	28.81	0	0	216.1	8.82252833333333	18680
5.583	0	30	68.09	28.13	0	0	7	46.13	211.3	28.6	0	0	214.5	8.91384666666667	18170
5.594	0	30	68.72	27.55	0	0	7	42.2	212.2	28.26	0	0	212	8.9082725	16570
5.604	0	30	68.31	27.46	0	0	7	39.34	210.7	27.78	0	0	208.4	8.8519575	15550
5.615	0	30	65.17	26.46	0	0	7	46.32	199.7	27.34	0	0	205	8.49188583333333	19260
5.625	0	30	61.65	26.18	0	0	7	43.14	199.7	26.99	0	0	202.4	8.16398	17980
5.635	0	30	59.76	26.29	0	0	7	40.58	198.5	26.57	0	0	199.3	8.00325833333333	17030
5.646	0	30	58.95	26.79	0	0	7	41.4	195.1	26.28	0	0	197.1	7.9680325	17670
5.656	0	30	59.39	27.29	0	0	7	36.14	197	25.91	0	0	194.3	8.03492416666667	15260
5.667	0	30	60.21	27.12	0	0	7	34.77	195	25.53	0	0	191.5	8.07796083333333	14830
5.677	0	30	62.43	27.42	0	0	7	36.17	190.1	25.14	0	0	188.6	8.27513083333333	15850
5.688	0	30	65.87	28.33	0	0	7	35.46	186.7	24.69	0	0	185.2	8.62360166666667	15820
5.698	0	30	65.62	28.28	0	0	7	35.28	182.9	24.25	0	0	181.8	8.584415	16070
5.708	0	30	64	27.71	0	0	7	34.02	180.3	23.81	0	0	178.6	8.3884775	15720
5.719	0	30	59.54	26.69	0	0	7	32.93	177.8	23.42	0	0	175.6	7.91943083333333	15420
5.729	0	30	58.34	26.57	0	0	7	32.19	175.5	23.07	0	0	173	7.79877666666667	15270
5.74	0	30	57.34	26.62	0	0	7	32.36	174.3	22.96	0	0	172.2	7.7159525	15460
5.75	0	30	58.69	27.46	0	0	7	33.22	178.1	23.48	0	0	176.1	7.91524166666667	15530
5.76	0	30	60.47	28.33	0	0	7	33.5	179.6	23.68	0	0	177.6	8.14212	15530
5.771	0	30	63.25	29.27	0	0	7	33.88	181.7	23.96	0	0	179.7	8.46030666666667	15520
5.781	0	30	62.37	30.63	0	0	7	38.48	177.3	23.98	0	0	179.9	8.50146	18060
5.792	0	30	62.22	30.59	0	0	7	37.51	176.4	23.77	0	0	178.3	8.47836833333333	17710
5.802	0	30	62.01	28.16	0	0	7	36.09	172.4	23.16	0	0	173.7	8.24027916666667	17440
5.813	0	30	66.41	29.8	0	0	7	36.11	169.9	22.89	0	0	171.7	8.7344175	17700
5.823	0	30	67.19	29.82	0	0	7	33.29	177.1	23.37	0	0	175.3	8.81647083333333	15660
5.833	0	30	68.47	30.3	0	0	7	35.95	179.6	23.96	0	0	179.7	8.98161916666667	16680
5.844	0	30	71.89	32.13	0	0	7	40.19	179.2	24.38	0	0	182.8	9.4321775	18650
5.854	0	30	75.64	33.77	0	0	7	39.59	186	25.07	0	0	188	9.90328416666667	17730
5.865	0	30	77.44	34.3	0	0	7	39.68	184.7	24.93	0	0	187	10.0932458333333	17890
5.875	0	30	80.08	35.64	0	0	7	37.85	182.2	24.45	0	0	183.4	10.40949	17310
5.885	0	30	82.6	36.06	0	0	7	35.08	185.3	24.48	0	0	183.6	10.6560008333333	15770
5.896	0	30	83.84	35.93	0	0	7	44.39	185.6	25.55	0	0	191.6	10.7810875	19830
5.906	0	30	84.22	35.45	0	0	7	42.61	190.2	25.87	0	0	194	10.7829591666667	18630
5.917	0	30	83.38	35.7	0	0	7	41.83	192.9	26.08	0	0	195.6	10.7397658333333	18050
5.927	0	30	82	35.63	0	0	7	41.52	195.7	26.36	0	0	197.7	10.6276208333333	17670
5.938	0	30	80.14	35.38	0	0	7	35.56	198.7	26.03	0	0	195.2	10.4421866666667	14880
5.948	0	30	77.75	34.94	0	0	7	46.33	195.9	26.91	0	0	201.9	10.2345616666667	19620
5.958	0	30	75.62	34.14	0	0	7	43.99	201.6	27.29	0	0	204.7	10.0023508333333	18160
5.969	0	30	71.87	32.7	0	0	7	45.2	201.6	27.42	0	0	205.7	9.57375833333333	18650
5.979	0	30	69.46	31.47	0	0	7	43.21	203.5	27.41	0	0	205.6	9.26890333333333	17680
5.99	0	30	67.5	30.68	0	0	7	40.15	205.3	27.27	0	0	204.5	9.03613333333333	16300
6	0	30	63.63	30.25	0	0	7	37.5	202.9	26.71	0	0	200.3	8.66026416666667	15390
6.01	0	30	61.67	30.21	0	0	7	37.23	199.5	26.31	0	0	197.3	8.48133	15530
6.021	0	30	61.72	31.05	0	0	7	33.98	179.3	23.7	0	0	177.8	8.47320333333333	15780
6.031	0	30	62.16	31.67	0	0	7	39.36	179.2	24.28	0	0	182.1	8.58017083333333	18280
6.042	0	30	64.58	33.16	0	0	7	38.07	181.5	24.4	0	0	183	8.9087925	17470
6.052	0	30	67.85	35.12	0	0	7	39.98	182.6	24.74	0	0	185.5	9.35545333333333	18220
6.063	0	30	72.14	37.87	0	0	7	40.19	184.5	24.97	0	0	187.2	9.94928416666667	18130
6.073	0	30	72.47	37.87	0	0	7	29.9	182.6	23.61	0	0	177.1	9.93446333333333	13550
6.083	0	30	69.76	36.85	0	0	7	28.92	175.3	22.69	0	0	170.2	9.59545	13660
6.094	0	30	67.5	36.47	0	0	7	28.04	169.8	21.98	0	0	164.9	9.35313	13680
6.104	0	30	62.84	34.39	0	0	7	26.63	165	21.29	0	0	159.7	8.76921166666667	13340
6.115	0	30	62.24	34.68	0	0	7	25.4	160.4	20.64	0	0	154.8	8.72330083333333	13080
6.125	0	30	53.74	32.07	0	0	7	23.02	156.6	19.96	0	0	149.7	7.77607666666667	12040
6.135	0	30	54.45	29.9	0	0	7	22.16	150.8	19.22	0	0	144.1	7.63105083333333	12040
6.146	0	30	50.07	27.07	0	0	7	20.33	145.3	18.41	0	0	138	7.00456833333333	11400
6.156	0	30	46.35	24.7	0	0	7	19.31	139.9	17.69	0	0	132.7	6.475685	11220
6.167	0	30	44.36	23.39	0	0	7	18.14	134.8	17	0	0	127.5	6.17807583333333	10900
6.177	0	30	42.58	22.2	0	0	7	17.11	129.9	16.34	0	0	122.5	5.9100275	10630
6.188	0	30	40	20.32	0	0	7	17.61	126.4	16	0	0	120	5.52753333333333	11350
6.198	0	30	40.39	20.54	0	0	7	16.57	123.3	15.54	0	0	116.6	5.5644925	10880
6.208	0	30	40.78	20.72	0	0	7	16.6	120.6	15.24	0	0	114.3	5.60193666666667	11190
6.219	0	30	40.47	20.75	0	0	7	16.53	118.6	15.02	0	0	112.6	5.57185916666667	11340
6.229	0	30	40.84	20.66	0	0	7	16.7	117.3	14.89	0	0	111.7	5.59136	11620
6.24	0	30	40.47	20.61	0	0	7	16.42	116.2	14.74	0	0	110.5	5.55151333333333	11520
6.25	0	30	40.51	20.54	0	0	7	16.72	115.5	14.69	0	0	110.2	5.5474525	11840
6.26	0	30	40.52	20.44	0	0	7	17.03	115.4	14.71	0	0	110.3	5.54104083333333	12110
6.271	0	30	40.31	20.4	0	0	7	16.09	114.7	14.53	0	0	109	5.51484	11430
6.281	0	30	40.12	20.16	0	0	7	15.98	113.6	14.4	0	0	108	5.47419833333333	11460
6.292	0	30	40.05	20.03	0	0	7	16.36	113.2	14.39	0	0	107.9	5.4570225	11830
6.302	0	30	40.34	20	0	0	7	16.62	113.3	14.43	0	0	108.2	5.4805525	12020
6.313	0	30	40.58	20.1	0	0	7	15.91	112.9	14.31	0	0	107.3	5.50536	11490
6.323	0	30	40.89	20.4	0	0	7	15.98	112.3	14.25	0	0	106.9	5.55464	11610
6.333	0	30	41.17	20.82	0	0	7	15.95	111.9	14.21	0	0	106.6	5.61066666666667	11630
6.344	0	30	41.86	21.17	0	0	7	15.7	111.5	14.13	0	0	106	5.69549916666667	11480
6.354	0	30	42.42	21.61	0	0	7	16.71	111.8	14.28	0	0	107.1	5.78387916666667	12270
6.365	0	30	43.95	22.14	0	0	7	16.44	112.4	14.32	0	0	107.4	5.95532416666667	11980
6.375	0	30	48.77	24.68	0	0	7	16.35	112.6	14.32	0	0	107.4	6.5700075	11890
6.385	0	30	59.89	29.66	0	0	7	18.93	114.5	14.82	0	0	111.2	7.92631083333333	13690
6.396	0	30	71.46	34.25	0	0	7	26.34	121.5	16.42	0	0	123.2	9.32357583333333	18050
6.406	0	30	80.01	37.94	0	0	7	29.26	131.5	17.87	0	0	134	10.3881758333333	18510
6.417	0	30	94.9	43.4	0	0	7	32.5	141.2	19.3	0	0	144.8	12.1294825	19120
6.427	0	30	105.8	46.61	0	0	7	37.63	151.4	21	0	0	157.5	13.3571483333333	20560
6.438	0	30	115.2	49.25	0	0	7	43.24	162.7	22.88	0	0	171.6	14.4217016666667	21860
6.448	0	30	120	50	0	0	7	49.68	174.8	24.94	0	0	187	14.9487841666667	23230
6.458	0	30	119	49.25	0	0	7	53.55	187	26.73	0	0	200.5	14.8555933333333	23380
6.469	0	30	112.1	45.74	0	0	7	56.24	197.6	28.2	0	0	211.5	14.03787	23260
6.479	0	30	102.5	40.86	0	0	7	58.75	206.2	29.44	0	0	220.8	12.8650675	23270
6.49	0	30	94.81	39.03	0	0	7	60.46	213.4	30.43	0	0	228.2	12.107185	23160
6.5	0	30	88.38	36.85	0	0	7	60.71	219.1	31.09	0	0	233.2	11.4098091666667	22700
6.51	0	30	81.29	34.25	0	0	7	55.04	222.5	30.84	0	0	231.3	10.5941225	20460
6.521	0	30	75.77	32.16	0	0	7	52.83	221.5	30.48	0	0	228.6	9.949415	19770
6.531	0	30	70.37	30.78	0	0	7	51.32	219.7	30.11	0	0	225.8	9.37276416666667	19390
6.542	0	30	68.28	29.8	0	0	7	50.22	217.6	29.76	0	0	223.2	9.10502833333333	19170
6.552	0	30	67.03	29.24	0	0	7	49.23	215.6	29.43	0	0	220.7	8.94457333333333	18970
6.563	0	30	66.77	28.52	0	0	7	46.11	213.2	28.81	0	0	216.1	8.84327333333333	18000
6.573	0	30	67.08	27.96	0	0	7	48.84	210.5	28.81	0	0	216.1	8.82252833333333	19260
6.583	0	30	68.09	28.13	0	0	7	47.45	209.9	28.6	0	0	214.5	8.91384666666667	18790
6.594	0	30	68.72	27.55	0	0	7	45.92	208.4	28.26	0	0	212	8.9082725	18330
6.604	0	30	68.31	27.46	0	0	7	43.85	206.2	27.78	0	0	208.4	8.8519575	17710
6.615	0	30	65.17	26.46	0	0	7	42.72	203.3	27.34	0	0	205	8.49188583333333	17500
6.625	0	30	61.65	26.18	0	0	7	42.16	200.7	26.99	0	0	202.4	8.16398	17500
6.635	0	30	59.76	26.29	0	0	7	40.78	198.3	26.57	0	0	199.3	8.00325833333333	17130
6.646	0	30	58.95	26.79	0	0	7	40.62	195.9	26.28	0	0	197.1	7.9680325	17270
6.656	0	30	59.39	27.29	0	0	7	39.31	193.8	25.91	0	0	194.3	8.03492416666667	16900
6.667	0	30	60.21	27.12	0	0	7	38.35	191.4	25.53	0	0	191.5	8.07796083333333	16690
6.677	0	30	62.43	27.42	0	0	7	37.3	189	25.14	0	0	188.6	8.27513083333333	16450
6.688	0	30	65.87	28.33	0	0	7	35.87	186.3	24.69	0	0	185.2	8.62360166666667	16040
6.698	0	30	65.62	28.28	0	0	7	34.81	183.4	24.25	0	0	181.8	8.584415	15810
6.708	0	30	64	27.71	0	0	7	33.75	180.5	23.81	0	0	178.6	8.3884775	15570
6.719	0	30	59.54	26.69	0	0	7	33	177.7	23.42	0	0	175.6	7.91943083333333	15460
6.729	0	30	58.34	26.57	0	0	7	32.42	175.2	23.07	0	0	173	7.79877666666667	15400
6.74	0	30	57.34	26.62	0	0	7	33.14	173.5	22.96	0	0	172.2	7.7159525	15920
6.75	0	30	58.69	27.46	0	0	7	37.37	174	23.48	0	0	176.1	7.91524166666667	17880
6.76	0	30	60.47	28.33	0	0	7	36.77	176.3	23.68	0	0	177.6	8.14212	17370
6.771	0	30	63.25	29.27	0	0	7	37.86	177.8	23.96	0	0	179.7	8.46030666666667	17740
6.781	0	30	62.37	30.63	0	0	7	36.79	179	23.98	0	0	179.9	8.50146	17120
6.792	0	30	62.22	30.59	0	0	7	35.1	178.8	23.77	0	0	178.3	8.47836833333333	16360
6.802	0	30	62.01	28.16	0	0	7	31.78	176.7	23.16	0	0	173.7	8.24027916666667	14960
6.813	0	30	66.41	29.8	0	0	7	32.3	173.7	22.89	0	0	171.7	8.7344175	15480
6.823	0	30	67.19	29.82	0	0	7	36.73	173.6	23.37	0	0	175.3	8.81647083333333	17620
6.833	0	30	68.47	30.3	0	0	7	39.07	176.5	23.96	0	0	179.7	8.98161916666667	18410
6.844	0	30	71.89	32.13	0	0	7	39.66	179.7	24.38	0	0	182.8	9.4321775	18360
6.854	0	30	75.64	33.77	0	0	7	42.73	182.9	25.07	0	0	188	9.90328416666667	19400
6.865	0	30	77.44	34.3	0	0	7	38.68	185.7	24.93	0	0	187	10.0932458333333	17350
6.875	0	30	80.08	35.64	0	0	7	35.56	184.5	24.45	0	0	183.4	10.40949	16060
6.885	0	30	82.6	36.06	0	0	7	37.62	182.7	24.48	0	0	183.6	10.6560008333333	17150
6.896	0	30	83.84	35.93	0	0	7	45.3	184.7	25.55	0	0	191.6	10.7810875	20300
6.906	0	30	84.22	35.45	0	0	7	43.18	189.6	25.87	0	0	194	10.7829591666667	18930
6.917	0	30	83.38	35.7	0	0	7	43.18	191.5	26.08	0	0	195.6	10.7397658333333	18740
6.927	0	30	82	35.63	0	0	7	44.15	193.1	26.36	0	0	197.7	10.6276208333333	19000
6.938	0	30	80.14	35.38	0	0	7	40.4	193.9	26.03	0	0	195.2	10.4421866666667	17360
6.948	0	30	77.75	34.94	0	0	7	48.2	194	26.91	0	0	201.9	10.2345616666667	20540
6.958	0	30	75.62	34.14	0	0	7	47.34	198.3	27.29	0	0	204.7	10.0023508333333	19800
6.969	0	30	71.87	32.7	0	0	7	46.48	200.3	27.42	0	0	205.7	9.57375833333333	19270
6.979	0	30	69.46	31.47	0	0	7	45.63	201.1	27.41	0	0	205.6	9.26890333333333	18860
6.99	0	30	67.5	30.68	0	0	7	44.47	201	27.27	0	0	204.5	9.03613333333333	18410
7	0	30	63.63	30.25	0	0	7	58.48	224.4	31.43	0	0	235.7	8.80801416666667	21480
7.01	0	30	61.67	30.21	0	0	7	58.46	224.3	31.42	0	0	235.7	8.64149666666667	21470
7.021	0	30	61.72	31.05	0	0	7	53.07	224.4	30.83	0	0	231.2	8.69637	19620
7.031	0	30	62.16	31.67	0	0	7	51.46	221	30.27	0	0	227	8.7678375	19330
7.042	0	30	64.58	33.16	0	0	7	49.73	217.7	29.72	0	0	222.9	9.0755425	18980
7.052	0	30	67.85	35.12	0	0	7	47.19	214.3	29.06	0	0	217.9	9.49095333333333	18320
7.063	0	30	72.14	37.87	0	0	7	47.16	219.9	29.68	0	0	222.6	10.0968675	17860
7.073	0	30	72.47	37.87	0	0	7	44.13	213.3	28.6	0	0	214.5	10.0907966666667	17240
7.083	0	30	69.76	36.85	0	0	7	40.89	207.1	27.56	0	0	206.7	9.74786666666667	16450
7.094	0	30	67.5	36.47	0	0	7	39.93	201.1	26.78	0	0	200.8	9.50329666666667	16550
7.104	0	30	62.84	34.39	0	0	7	38.35	196.1	26.05	0	0	195.4	8.918295	16300
7.115	0	30	62.47	34.68	0	0	7	33.82	190.7	24.95	0	0	187.1	8.87690666666667	14740
7.125	0	30	53.74	32.07	0	0	7	30.13	183.2	23.71	0	0	177.8	7.89341	13610
7.135	0	30	54.45	29.9	0	0	7	27.18	174.9	22.45	0	0	168.4	7.7324675	12810
7.146	0	30	50.07	27.07	0	0	7	24.7	166.4	21.24	0	0	159.3	7.093235	12170
7.156	0	30	46.35	24.7	0	0	7	22.34	158	20.04	0	0	150.3	6.54910166666667	11530
7.167	0	30	44.36	23.39	0	0	7	22.42	150.8	19.24	0	0	144.3	6.24832583333333	12200
7.177	0	30	42.58	22.2	0	0	7	20.64	144.8	18.38	0	0	137.9	5.97394416666667	11640
7.188	0	30	40	20.32	0	0	7	20.38	139.3	17.75	0	0	133.1	5.58236666666667	11980
7.198	0	30	40.39	20.54	0	0	7	21.88	136.2	17.57	0	0	131.7	5.62790916666667	13270
7.208	0	30	40.78	20.72	0	0	7	20.27	133.8	17.12	0	0	128.4	5.66085333333333	12450
7.219	0	30	40.47	20.75	0	0	7	21.44	131.8	17.03	0	0	127.7	5.63502583333333	13450
7.229	0	30	40.84	20.66	0	0	7	21.9	131.3	17.03	0	0	127.7	5.65827666666667	13820
7.24	0	30	40.47	20.61	0	0	7	21.84	131.1	17	0	0	127.5	5.62226333333333	13800
7.25	0	30	40.51	20.54	0	0	7	19.72	129.6	16.6	0	0	124.5	5.6072025	12510
7.26	0	30	40.52	20.44	0	0	7	19.4	127.2	16.29	0	0	122.2	5.59054083333333	12540
7.271	0	30	40.31	20.4	0	0	7	18.07	124.6	15.85	0	0	118.9	5.55600666666667	11870
7.281	0	30	40.12	20.16	0	0	7	18.03	122	15.56	0	0	116.7	5.51053166666667	12120
7.292	0	30	40.05	20.03	0	0	7	17.43	119.8	15.25	0	0	114.4	5.4840225	11910
7.302	0	30	40.34	20	0	0	7	17.35	117.9	15.03	0	0	112.7	5.49938583333333	12060
7.313	0	30	40.58	20.1	0	0	7	17.69	116.8	14.95	0	0	112.1	5.52519333333333	12450
7.323	0	30	40.89	20.4	0	0	7	18.37	116.7	15.01	0	0	112.6	5.57830666666667	12980
7.333	0	30	41.17	20.82	0	0	7	18.37	117	15.04	0	0	112.8	5.63666666666667	12960
7.344	0	30	41.86	21.17	0	0	7	18.09	116.9	15	0	0	112.5	5.72266583333333	12750
7.354	0	30	42.42	21.61	0	0	7	19.31	117.6	15.21	0	0	114.1	5.81287916666667	13600
7.365	0	30	43.95	22.14	0	0	7	20.39	119.4	15.53	0	0	116.5	5.99332416666667	14170
7.375	0	30	48.77	24.68	0	0	7	25.75	121.6	16.37	0	0	122.8	6.6342575	17640
7.385	0	30	59.89	29.66	0	0	7	27.43	129.6	17.44	0	0	130.8	8.00839416666667	17640
7.396	0	30	71.46	34.25	0	0	7	38.14	139.3	19.71	0	0	147.9	9.42665916666667	22460
7.406	0	30	80.01	37.94	0	0	7	50.43	153.9	22.71	0	0	170.3	10.5397591666667	26280
7.417	0	30	94.9	43.4	0	0	7	54.36	171.1	25.05	0	0	187.9	12.3095658333333	25600
7.427	0	30	105.8	46.61	0	0	7	64.85	185.3	27.79	0	0	208.4	13.5698983333333	27780
7.438	0	30	115.2	49.25	0	0	7	75.75	200.7	30.72	0	0	230.4	14.6671183333333	29550
7.448	0	30	120	50	0	0	7	88.95	214.3	33.7	0	0	252.7	15.2232008333333	31860
7.458	0	30	119	49.25	0	0	7	96.68	230.1	36.31	0	0	272.3	15.1555933333333	32170
7.469	0	30	112.1	45.74	0	0	7	102.5	243.9	38.5	0	0	288.7	14.36037	32180
7.479	0	30	102.5	40.86	0	0	7	106.2	255.8	40.22	0	0	301.6	13.2026508333333	31870
7.49	0	30	94.81	39.03	0	0	7	95.51	269.7	40.58	0	0	304.4	12.4252683333333	28050
7.5	0	30	88.38	36.85	0	0	7	91.18	273.2	40.49	0	0	303.6	11.7041425	26700
7.51	0	30	81.29	34.25	0	0	7	90.71	271.8	40.28	0	0	302.1	10.8899558333333	26690
7.521	0	30	75.77	32.16	0	0	7	86.23	271.8	39.78	0	0	298.3	10.2404983333333	25570
7.531	0	30	70.37	30.78	0	0	7	85.71	271	39.64	0	0	297.3	9.67126416666667	25500
7.542	0	30	68.28	29.8	0	0	7	74.13	271.5	38.41	0	0	288.1	9.37586166666667	22400
7.552	0	30	67.03	29.24	0	0	7	87.45	263.7	39.01	0	0	292.6	9.24490666666667	26560
7.563	0	30	66.77	28.52	0	0	7	85.83	266.4	39.14	0	0	293.6	9.16685666666667	25910
7.573	0	30	67.08	27.96	0	0	7	80.16	267.8	38.66	0	0	290	9.13111166666667	24310
7.583	0	30	68.09	28.13	0	0	7	76.22	265.9	38.01	0	0	285.1	9.20868	23400
7.594	0	30	68.72	27.55	0	0	7	65.42	263.2	36.51	0	0	273.8	9.16660583333333	20560
7.604	0	30	68.31	27.46	0	0	7	57.19	253.9	34.56	0	0	259.2	9.06437416666667	18730
7.615	0	30	65.17	26.46	0	0	7	76.52	243.9	35.61	0	0	267	8.7508025	25320
7.625	0	30	61.65	26.18	0	0	7	70.05	248.6	35.41	0	0	265.5	8.42781333333333	23050
7.635	0	30	59.76	26.29	0	0	7	64.18	247.7	34.66	0	0	259.9	8.256675	21360
7.646	0	30	58.95	26.79	0	0	7	66.79	243.6	34.49	0	0	258.7	8.22519916666667	22490
7.656	0	30	59.39	27.29	0	0	7	53.09	242.5	32.84	0	0	246.3	8.2522575	18220
7.667	0	30	60.21	27.12	0	0	7	48.59	232.1	31.18	0	0	233.9	8.25496083333333	17440
7.677	0	30	62.43	27.42	0	0	7	51.67	222.9	30.51	0	0	228.8	8.4432975	19250
7.688	0	30	65.87	28.33	0	0	7	50.5	218.5	29.89	0	0	224.1	8.786435	19200
7.698	0	30	65.62	28.28	0	0	7	51.12	215.9	29.68	0	0	222.6	8.75449833333333	19640
7.708	0	30	64	27.71	0	0	7	49	214.1	29.24	0	0	219.3	8.55856083333333	19010
7.719	0	30	59.54	26.69	0	0	7	46.94	211.3	28.69	0	0	215.2	8.08476416666667	18480
7.729	0	30	58.34	26.57	0	0	7	45.21	206.6	27.99	0	0	209.9	7.95269333333333	18210
7.74	0	30	57.34	26.62	0	0	7	45.48	203.9	27.71	0	0	207.8	7.8649525	18550
7.75	0	30	58.69	27.46	0	0	7	45.37	202.1	27.5	0	0	206.2	8.04099166666667	18670
7.76	0	30	60.47	28.33	0	0	7	45.06	200.7	27.3	0	0	204.8	8.25562	18670
7.771	0	30	63.25	29.27	0	0	7	44.73	199.4	27.13	0	0	203.4	8.55955666666667	18650
7.781	0	30	62.37	30.63	0	0	7	56.42	199.3	28.42	0	0	213.1	8.64046	23140
7.792	0	30	62.22	30.59	0	0	7	56.52	205.9	29.16	0	0	218.7	8.647285	22510
7.802	0	30	62.01	28.16	0	0	7	56.34	210.2	29.61	0	0	222.1	8.4423625	22030
7.813	0	30	66.41	29.8	0	0	7	58.43	213.1	30.17	0	0	226.3	8.9624175	22490
7.823	0	30	67.19	29.82	0	0	7	49.05	216	29.45	0	0	220.9	9.0068875	18880
7.833	0	30	68.47	30.3	0	0	7	53.24	212.9	29.57	0	0	221.8	9.15736916666667	20670
7.844	0	30	71.89	32.13	0	0	7	63.45	213.7	30.79	0	0	230.9	9.63301083333333	24150
7.854	0	30	75.64	33.77	0	0	7	60.41	220	31.16	0	0	233.7	10.0940341666667	22520
7.865	0	30	77.44	34.3	0	0	7	61.91	222.3	31.58	0	0	236.9	10.3015791666667	22800
7.875	0	30	80.08	35.64	0	0	7	59.52	224.9	31.6	0	0	237	10.6335733333333	21780
7.885	0	30	82.6	36.06	0	0	7	51.65	225.1	30.75	0	0	230.6	10.8521675	19070
7.896	0	30	83.84	35.93	0	0	7	72.08	220.7	32.53	0	0	244	10.9997541666667	26210
7.906	0	30	84.22	35.45	0	0	7	68.09	229.8	33.1	0	0	248.2	11.0095425	24100
7.917	0	30	83.38	35.7	0	0	7	65.82	233.3	33.24	0	0	249.3	10.9640158333333	23070
7.927	0	30	82	35.63	0	0	7	63.99	234.5	33.17	0	0	248.8	10.8409541666667	22390
7.938	0	30	80.14	35.38	0	0	7	49.15	234.2	31.48	0	0	236.1	10.61302	17480
7.948	0	30	77.75	34.94	0	0	7	72.37	225.6	33.11	0	0	248.3	10.4285616666667	25810
7.958	0	30	75.62	34.14	0	0	7	66.46	233.6	33.34	0	0	250	10.1917675	23250
7.969	0	30	71.87	32.7	0	0	7	69.61	234.9	33.84	0	0	253.8	9.774675	24100
7.979	0	30	69.46	31.47	0	0	7	64.95	237.9	33.65	0	0	252.4	9.46432	22400
7.99	0	30	67.5	30.68	0	0	7	57.16	237.3	32.72	0	0	245.4	9.20671666666667	19960
8	0	30	63.63	30.25	0	0	7	51.27	232.3	31.51	0	0	236.3	8.81051416666667	18360
8.01	0	30	61.67	30.21	0	0	7	50.52	225.6	30.68	0	0	230.1	8.61841333333333	18620
8.021	0	30	61.72	31.05	0	0	7	50.62	220.8	30.16	0	0	226.2	8.67545333333333	19050
8.031	0	30	62.16	31.67	0	0	7	62.57	217.9	31.17	0	0	233.8	8.79592083333333	23430
8.042	0	30	64.58	33.16	0	0	7	59.62	222.7	31.36	0	0	235.2	9.12712583333333	22010
8.052	0	30	67.85	35.12	0	0	7	63.86	223.8	31.96	0	0	239.7	9.58170333333333	23310
8.063	0	30	72.14	37.87	0	0	7	64.28	226.9	32.35	0	0	242.7	10.1807841666667	23160
8.073	0	30	72.47	37.87	0	0	7	41.49	228.3	29.98	0	0	224.8	10.1337966666667	15120
8.083	0	30	69.76	36.85	0	0	7	39.67	215.5	28.36	0	0	212.7	9.77295	15320
8.094	0	30	67.5	36.47	0	0	7	37.97	206	27.11	0	0	203.3	9.51379666666667	15340
8.104	0	30	62.84	34.39	0	0	7	35.13	198	25.9	0	0	194.2	8.91346166666667	14750
8.115	0	30	62.24	34.68	0	0	7	32.71	190.1	24.75	0	0	185.7	8.85213416666667	14290
8.125	0	30	53.74	32.07	0	0	7	27.94	184.1	23.56	0	0	176.7	7.88891	12480
8.135	0	30	54.45	29.9	0	0	7	26.39	173.9	22.25	0	0	166.9	7.7262175	12480
8.146	0	30	50.07	27.07	0	0	7	22.94	164.6	20.83	0	0	156.2	7.08065166666667	11350
8.156	0	30	46.35	24.7	0	0	7	21.1	155.1	19.58	0	0	146.9	6.53485166666667	11040
8.167	0	30	44.36	23.39	0	0	7	19.02	146.3	18.37	0	0	137.8	6.22090916666667	10470
8.177	0	30	42.58	22.2	0	0	7	17.21	137.7	17.21	0	0	129.1	5.93736083333333	10000
8.188	0	30	40	20.32	0	0	7	18.18	131.3	16.61	0	0	124.6	5.54678333333333	11260
8.198	0	30	40.39	20.54	0	0	7	16.34	126	15.82	0	0	118.6	5.57315916666667	10440
8.208	0	30	40.78	20.72	0	0	7	16.41	121.2	15.29	0	0	114.7	5.60360333333333	10980
8.219	0	30	40.47	20.75	0	0	7	16.3	117.8	14.9	0	0	111.7	5.5681925	11250
8.229	0	30	40.84	20.66	0	0	7	16.59	115.5	14.68	0	0	110.1	5.58469333333333	11740
8.24	0	30	40.47	20.61	0	0	7	16.1	113.6	14.41	0	0	108.1	5.54118	11560
8.25	0	30	40.51	20.54	0	0	7	16.61	112.3	14.33	0	0	107.4	5.53603583333333	12120
8.26	0	30	40.52	20.44	0	0	7	17.14	112.1	14.36	0	0	107.7	5.53012416666667	12580
8.271	0	30	40.31	20.4	0	0	7	15.53	110.9	14.05	0	0	105.4	5.49975666666667	11400
8.281	0	30	40.12	20.16	0	0	7	15.32	109.1	13.82	0	0	103.7	5.45603166666667	11450
8.292	0	30	40.05	20.03	0	0	7	15.97	108.3	13.81	0	0	103.5	5.43868916666667	12090
8.302	0	30	40.34	20	0	0	7	16.4	108.5	13.87	0	0	104	5.46313583333333	12430
